condition,dataset,delta,metric,note,relative_delta_percent,severity,task80_value,task80a_value
Baseline-AR,gsm8k_short,0.0,row_count,,0.0,ok,30,30
Baseline-AR,gsm8k_short,0.0,numeric_match_count,,0.0,ok,25,25
Baseline-AR,gsm8k_short,0.0,numeric_accuracy,,0.0,ok,0.833333,0.833333
Baseline-AR,gsm8k_short,6.249227,avg_e2e_latency_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,64.364531,watch,9.709116,15.958343
Baseline-AR,gsm8k_short,-7.051525,e2e_tok_s,,-39.159623,ok,18.007132,10.955607
Baseline-AR,gsm8k_short,0.0,avg_t_compress_ms,,,ok,0.0,0.0
Baseline-AR,gsm8k_short,0.0,compression_ratio,,,ok,0.0,0.0
Baseline-AR,gsm8k_short,0.0,cap_hit_count,,,ok,0,0
CC-DFlash-R2,gsm8k_short,0.0,row_count,,0.0,ok,30,30
CC-DFlash-R2,gsm8k_short,0.0,numeric_match_count,,0.0,ok,24,24
CC-DFlash-R2,gsm8k_short,0.0,numeric_accuracy,,0.0,ok,0.8,0.8
CC-DFlash-R2,gsm8k_short,0.586869,avg_e2e_latency_s,,14.280886,ok,4.109472,4.696341
CC-DFlash-R2,gsm8k_short,-5.332642,e2e_tok_s,,-12.4963,ok,42.673769,37.341127
CC-DFlash-R2,gsm8k_short,40.615897,avg_t_compress_ms,,4.673631,ok,869.043771,909.659668
CC-DFlash-R2,gsm8k_short,0.0,compression_ratio,,0.0,ok,2.666667,2.666667
CC-DFlash-R2,gsm8k_short,0.0,cap_hit_count,,0.0,ok,3,3
DFlash-R1,gsm8k_short,0.0,row_count,,0.0,ok,30,30
DFlash-R1,gsm8k_short,0.0,numeric_match_count,,0.0,ok,24,24
DFlash-R1,gsm8k_short,0.0,numeric_accuracy,,0.0,ok,0.8,0.8
DFlash-R1,gsm8k_short,7.504709,avg_e2e_latency_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,251.007044,watch,2.98984,10.494549
DFlash-R1,gsm8k_short,-40.381294,e2e_tok_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,-71.510539,watch,56.469011,16.087717
